subs_;offer_price;offer_name;campaign_id;contact_uuid;response_uuid;transaction_date;accept_indicator;region
27384096074;440.59;data saver;CAMP_a412f448;56ece4b9-d0cb-4e19-95cb-789f93c6c36f;b35f92b8-a01f-462d-8f41-a1de57f05340;2026/02/02;1;North West
27300259046;320.37;feature promo;CAMP_71316a02;ad7cc267-74eb-46c5-a13e-bea4dc009c4a;db7fb170-485a-4346-b8e0-26d160589106;2026/02/05;0;Eastern Cape
27638986591;234.82;data saver;CAMP_a4243a0c;a64e3841-7adf-454b-972b-f54caa58e781;b8b5d7a3-e40c-45ac-a64c-913b01da0c9f;2026/01/11;1;Free State
27812403522;250.93;flash offer;CAMP_d6fe8fa3;d3c7f630-b0c4-4ae5-83d1-9a4b0cbdcdf0;4754b47d-5ea1-4166-8403-78393007b361;2026/01/12;0;KwaZulu-Natal
27517103224;242.11;summer special;CAMP_a4243a0c;82453eff-2a8f-4707-a2eb-25b1ec9aee70;a7ad183c-1c5c-4c73-911f-bfb75c456a30;2026/02/23;1;Mpumalanga
27545648524;277.92;bundle boost;CAMP_8787d73e;f7d745bf-6e3b-4d5d-99f4-0e45d835f6b3;c4fccefc-c8f0-4aaa-abfa-047d574fa4a9;2026/02/16;1;Mpumalanga
27225381093;137.18;loyalty reward;CAMP_66ac82ba;0783c3cd-1a46-4315-a5f2-8fbc013eca69;4701a0c1-ea5c-457e-a420-fabfb8c196ce;2026/01/19;0;Gauteng
27100181055;360.27;bundle boost;CAMP_bf68e35d;94d79f9a-a194-458f-86c0-39fa610b3164;6f81ce51-39d6-4b2d-834e-c23ba38d23da;2026/02/25;1;North West
27677461606;488.96;bundle boost;CAMP_e4f5f0ad;16d90c55-42b1-4f0d-a220-6bb1a1e986fd;96a659bb-b660-4a69-97a4-f6f7af5f30d3;2026/02/27;0;Gauteng
27756758853;73.93;feature promo;CAMP_b5a684fb;3e0358f5-ebf2-4f0f-9d3f-793b1446e5a0;ee0d3393-bd34-44db-879d-6882db4f3a0c;2026/01/15;1;Gauteng
27153935281;335.42;summer special;CAMP_ba93795c;2348a8ff-144f-45e1-b6dd-4b806ec1a7cb;a51eb9a2-abeb-49b6-b3f7-405b2c01b997;2026/01/12;1;North West
27582600925;7.72;summer special;CAMP_c02c6c69;1c1332d5-2cb8-4e8d-83af-43c64b8ccbb8;c49474cd-cedd-4a0f-a622-cf71708ee525;2026/02/27;0;Limpopo
27004300821;271.48;loyalty reward;CAMP_b5c354b1;06a83843-2b98-4608-ade7-7181fba48cdd;abf14e0a-f396-41ab-b7ba-18149dec0248;2026/01/13;0;Limpopo
27283371083;219.2;data saver;CAMP_dddcc94b;b34ec374-5946-429a-ab20-4af18ba0f49c;a611d9de-a865-48b6-9395-9d3a83e009f4;2026/02/24;1;Mpumalanga
27267244386;110.9;bundle boost;CAMP_d6fe8fa3;7681938d-b46e-48bc-9f73-c6c4362af17a;2a475054-4b57-4ee1-acbb-559570f72861;2026/02/04;0;Northern Cape
27866481272;42.66;data saver;CAMP_71316a02;e8bb9031-ab2c-49e4-9e38-1739cedcef1c;89d717ad-54d6-4ba2-a5aa-18c41b8996cf;2026/02/19;0;Northern Cape
27519714939;464.22;flash offer;CAMP_e0eeadf6;217a8e89-0d4d-4e5d-a173-7d5d94a97961;7becc7f7-68c9-4f19-a60d-052f32d7f55e;2026/01/20;1;Free State
27775617302;128.54;flash offer;CAMP_11f756ee;fa37afeb-47fa-41e3-9260-1452417610fc;2e5f3f60-eccc-4f49-8fd8-f283508b078d;2026/01/21;1;Eastern Cape
27912204521;318.12;flash offer;CAMP_6f1cf533;3a720a7b-1e1e-4272-9845-dcbc7683dcc0;00eba0b0-34dd-4b32-aba6-e2379283e0e3;2026/01/10;0;North West
27945951367;164.13;loyalty reward;CAMP_b5c354b1;24a1759f-3822-4e09-a065-0fbd88da084a;8087a8c4-1539-4519-86d1-c9f60359ffe0;2026/03/10;0;Eastern Cape
27913853496;173.76;summer special;CAMP_bf68e35d;b200479c-3510-443a-ac4b-8f2ff2411464;7fb96ddf-abb3-4275-a077-548ed699c71c;2026/03/07;1;Gauteng
27676115850;412.96;flash offer;CAMP_11f756ee;c44da5a9-efad-4afd-b5da-15a1ec7b72bc;f2406b88-b703-4334-8c80-22cee3764cc2;2026/02/15;1;Free State
27893049696;227.88;feature promo;CAMP_ffc5693b;aed3afd6-693d-423e-99b5-065a75a8dd74;fa91d660-7e48-44ed-b209-d0563d3e0941;2026/01/24;0;KwaZulu-Natal
27791076228;194.22;weekend deal;CAMP_cc486657;4d436d42-4651-40c5-a776-fd93850dcaac;c6349dda-7415-46e1-b645-aec43ff02e52;2026/01/23;1;Limpopo
27724368751;163.0;summer special;CAMP_a1a279a5;f681cd6b-1d91-46d0-905e-a807d121eab2;24276925-7e70-41a6-baa1-86a6e2411d07;2026/01/17;1;Northern Cape
27956300077;385.06;flash offer;CAMP_e1c90ad1;a170ce37-1432-41eb-989b-cdd5d0e935e0;5b9eaa5b-e9c5-4b34-9af2-396597569ab0;2026/01/09;1;Gauteng
27466587874;277.92;data saver;CAMP_c7e3d314;559a7e26-dd13-4c41-9b49-06afc50c9e9c;0290be97-1a15-41cf-adb0-dfdeaf03a9bc;2026/02/19;0;KwaZulu-Natal
27880410142;404.25;bundle boost;CAMP_a1a279a5;84f4926a-edef-4c6e-8a36-a53a08460fc9;e56eeb36-43f1-4de2-b115-db91d819717a;2026/01/15;0;North West
27183471477;182.84;weekend deal;CAMP_df5e0430;008d290c-ad1a-4595-9a8a-441f980e79c9;53591e78-260c-41e9-98a1-963e5136269b;2026/02/24;0;Limpopo
27754150862;130.31;summer special;CAMP_caa65975;263c1aff-6f0c-4678-852b-f6629351d19e;c53e6c45-1580-486e-b128-1580181e6b2e;2026/02/27;0;Limpopo
27141727752;384.71;loyalty reward;CAMP_7fa47c7e;eb8d3e02-91b4-4e6d-9d15-2f6fab1a2cf9;cea01769-9f6f-4e3f-83b7-5865b821e326;2026/01/27;0;Free State
27083078621;29.84;bundle boost;CAMP_aa2f5198;002ebb17-43f0-4ad3-9e20-c4f27cd38aa4;f02c37b1-0b45-4a8b-b2e3-06820279a9ff;2026/01/13;0;Free State
27498447347;330.58;data saver;CAMP_7728f69b;a68f3ee3-7398-467b-a5e5-189263fc0998;5b294a24-0b2b-4f55-ae6c-8fdfe76db82b;2026/01/30;0;KwaZulu-Natal
27743629365;266.83;bundle boost;CAMP_da530e13;8f22bfac-53eb-4866-a425-c8db3f87b87b;ebfd0fe0-6783-4461-abe9-40f4c0ed20e2;2026/03/03;0;Gauteng
27000327608;170.58;loyalty reward;CAMP_6f1cf533;1c93f0fe-354e-447f-9786-f8667899578c;4e20626d-1f05-4f3b-9087-bb462ba891ea;2026/02/22;0;KwaZulu-Natal
27268694868;392.6;data saver;CAMP_dbfecedd;45ea6c23-8b28-47b7-9374-7bcb63d44a1f;fa11c741-86ad-44aa-b92a-fc6b014556ba;2026/01/26;1;KwaZulu-Natal
27529436061;125.56;weekend deal;CAMP_aa2f5198;9139d859-5de4-4729-8988-c2be2fa5f8d7;27718d13-4dd4-49bb-afb8-2dbd47e12d2d;2026/01/10;1;Northern Cape
27207001311;98.3;loyalty reward;CAMP_dbfecedd;8851b993-3315-4a6a-97e5-8f6326ba64ed;bdeebe9e-3f57-484c-8a3b-89f57d8ab2f8;2026/02/26;1;Northern Cape
27516122841;375.58;summer special;CAMP_e4f5f0ad;42844d79-c36b-4850-b51d-03d1aaaf8397;a7535f25-f9ce-489d-90e2-5e3d9448b7c6;2026/01/17;1;North West
27346963374;257.07;feature promo;CAMP_6f1cf533;f4e3a7df-c298-4624-b7f9-b4a076ce4c6b;9287f379-06ab-41d1-bf05-fa4b21b90d58;2026/02/10;1;Western Cape
27484308119;131.38;loyalty reward;CAMP_9678ed90;579a6033-9519-4e96-85a5-783a2ad3a118;502093ea-e0d1-4053-85b9-a4f6e580fecc;2026/01/18;1;Limpopo
27582812342;462.07;feature promo;CAMP_84aff86c;c875eebe-d7ed-45cb-997d-fa127696fb8a;bfed1b8f-929b-49f3-9b1f-5815b30e1f86;2026/02/18;0;North West
27805099012;252.41;weekend deal;CAMP_a412f448;43b386f5-89b0-47cd-b394-a029e31ba613;70d316e3-1996-4300-9f78-40375f2362ca;2026/02/22;1;Free State
27414446958;204.54;weekend deal;CAMP_df5e0430;c3462d57-5b4f-448f-9036-f1a2e01a8369;14f22f0e-7b4f-40e4-93e7-eedf1b51812c;2026/02/03;1;North West
27671155715;383.35;flash offer;CAMP_df5e0430;f483bb85-bab1-4bfe-bd19-e4a650f97dd3;651290b8-f696-48aa-8358-48f34a4859a3;2026/01/17;1;Mpumalanga
27276173958;219.7;loyalty reward;CAMP_b1b8d7d8;2faeb823-ae2f-4538-b431-b5b2216e219f;292c0bf4-fd44-4078-bc14-e8a3f67e2b11;2026/02/20;0;Western Cape
27794098208;17.28;feature promo;CAMP_b5c354b1;68a8a0bb-b0a6-4b29-b96b-2e4ed77738b9;83d68096-042c-4d6b-9dde-66d997eacc91;2026/03/02;1;Western Cape
27060733933;172.2;bundle boost;CAMP_5ac0fa09;4b3feeba-c96b-43b0-be1b-ea7398d6ceea;34cfee9f-5456-457a-9140-650b989399f6;2026/01/14;0;KwaZulu-Natal
27211633717;217.59;flash offer;CAMP_c7e3d314;4b365078-26b9-4f50-ac55-39b60e705806;67d24726-fd59-4e3f-b16a-49d985e1fcf4;2026/01/26;1;North West
27534230416;239.18;flash offer;CAMP_e1c90ad1;3920379c-2f55-4841-a034-9f7097a0942e;852ea27d-1604-4969-8d4b-6b1864609e42;2026/02/05;1;Free State
27652193235;96.75;bundle boost;CAMP_c02c6c69;f6f768ca-4a99-4059-9a85-3dc9edfefdf8;476ae5db-5df3-48e5-ae57-10897b2335fa;2026/02/01;0;Northern Cape
27496388769;175.33;bundle boost;CAMP_7728f69b;ebdc7d08-6cbe-4a86-92f9-560a264af237;1840f647-8d7f-4e0b-8773-41caf465924e;2026/01/20;0;Northern Cape
27932257721;176.38;loyalty reward;CAMP_ba93795c;0b93c172-4b49-4fd4-82b0-0bc8c44f7be3;395844ec-7285-4283-81db-f07f77b3f503;2026/03/09;0;Mpumalanga
27325303950;374.51;feature promo;CAMP_cc486657;dc9c2a98-4213-4449-9db2-71cdbe9b4516;675b48fd-3457-466f-b3c5-47987fe6f1e7;2026/02/18;0;Western Cape
27394804303;226.81;loyalty reward;CAMP_9678ed90;a77f5be2-4fb2-496b-b8fe-1fc15e115791;3a752cbd-f51e-4e93-a8cc-c66aa4641755;2026/02/02;1;Limpopo
27072689212;68.03;feature promo;CAMP_5551ccc0;14af06bf-0e71-40b8-b382-d61096347e49;230f4c70-a2ee-49d6-ac6c-01e6b81ff944;2026/02/24;0;Limpopo
27817009448;102.27;summer special;CAMP_ba93795c;723fe673-0232-44e7-9493-ae5c7002fe5a;81ccac89-c52a-43a5-a450-9270971da147;2026/02/11;0;Mpumalanga
27531380992;24.72;loyalty reward;CAMP_c7e3d314;2d1ecf2e-ffe4-4132-8f5b-aaf22af6bdf5;9da794de-e27b-4979-8cbb-424c5d0f630a;2026/01/13;0;Northern Cape
27444601832;284.7;bundle boost;CAMP_aa2f5198;4f427984-31cb-449f-8fc7-66b3886a5e11;7cbfba68-44ca-41f1-bf89-71b64161c30e;2026/01/20;0;Western Cape
27390869420;450.11;weekend deal;CAMP_11f756ee;2705d71d-1829-48fa-8408-c0027eeb7990;2a2404d8-43c0-4000-8d1c-003af6ec2bef;2026/02/06;1;Free State
27711715339;77.26;weekend deal;CAMP_e6999d8d;0759a938-9a9a-427c-9939-bf11e8c9f325;1ba4080b-0500-42dc-ad8c-c5cde6d7a905;2026/02/07;1;Northern Cape
27993725352;452.74;feature promo;CAMP_8787d73e;613ea59f-38ef-4adf-b888-9a3f60a0b8a0;bc3db8f6-6dd8-4391-84c7-8cfbf60e0631;2026/02/04;0;KwaZulu-Natal
27010078034;450.45;bundle boost;CAMP_1821394f;c83db137-0fea-4fa5-908e-9e263b3348ea;ab1f9d3a-700c-4ce5-af09-b6c6eca00235;2026/01/27;1;Limpopo
27603699602;365.71;bundle boost;CAMP_0db7ab78;a8949f7c-9f0f-4e01-b8e3-a8b5753ca342;2fbd538c-223c-4cb5-a3f1-767846333d64;2026/02/07;1;Mpumalanga
27237238588;61.03;loyalty reward;CAMP_e0eeadf6;2d554eca-6b3e-4d2c-83f2-efbb2637e600;3d26e346-3224-4bef-9e58-0b421e9a43af;2026/01/25;1;Free State
27231947502;325.65;weekend deal;CAMP_b1b8d7d8;924255bb-8806-4b55-85a0-e94ddc541f38;6fa26883-b50f-4a9f-8e90-f28b4952bcbc;2026/01/22;1;Northern Cape
27495418856;58.94;weekend deal;CAMP_da530e13;26b5e8bf-146a-44b9-b2af-e1cb7f932cd3;58ca99df-aa5b-4211-a3f4-160d4b40f166;2026/02/27;1;Eastern Cape
27507429428;124.84;feature promo;CAMP_7728f69b;245f640d-0937-4b13-abd3-864fb88eb769;a64261df-55dd-4876-80f6-2bde6104c276;2026/03/09;0;Eastern Cape
27094889127;402.37;summer special;CAMP_c02c6c69;49a52bca-3caa-437b-aa13-9786dcdab235;8c8a0727-83c0-41e6-85d7-c6633a9aa031;2026/01/28;1;Eastern Cape
27021288042;5.77;bundle boost;CAMP_4236e746;587886a1-0c78-4c47-a118-f4647b165955;760145ad-a443-45eb-8222-f9fd8027ac32;2026/01/31;0;Northern Cape
27985851174;242.72;loyalty reward;CAMP_e1c90ad1;a1871c1a-8813-4f43-931c-f00643faadc9;309c1be3-69a2-4588-8e59-4b1ce5a58211;2026/02/15;0;Gauteng
27932559433;177.04;feature promo;CAMP_cc486657;9342111f-82d4-4aa1-bc4c-db8fd499e478;abc88c1e-dd5a-481f-aa11-6881b74cf39c;2026/01/20;0;Western Cape
27492454780;211.48;data saver;CAMP_cc6bb4e5;db1e3977-cc0a-4b17-b439-41e01a364260;c1696a01-d199-48f1-92e3-a9bdc2332e4e;2026/02/02;1;Gauteng
27121031953;449.12;feature promo;CAMP_b5a684fb;248bbeb8-3f5f-4a05-83dc-d0a7b255881b;bf38326d-0593-4c52-92d3-6febd102eeb9;2026/01/30;0;Limpopo
27754690035;464.53;loyalty reward;CAMP_fa99b374;c497998c-bad1-4f11-94d4-1d3372626bed;ce56c5bb-a3ef-4290-8e69-56295e1861f7;2026/03/01;0;Northern Cape
27546297699;417.71;weekend deal;CAMP_c7e3d314;ecbc4215-a7ff-4bd8-9726-00dea2a789e5;2b8bd495-e629-4517-a979-dedc060a501b;2026/01/29;0;Mpumalanga
27477808178;454.08;bundle boost;CAMP_0db7ab78;58b2908c-8348-4003-98ad-3aea1b498b18;d01db07e-173b-4fa0-ba33-df9932f44bab;2026/02/13;0;KwaZulu-Natal
27842125000;451.88;data saver;CAMP_e6999d8d;143353d1-a970-4fb2-b4d2-37dfdb3ec748;174e94c6-d313-4285-ae67-0044d79c5a35;2026/01/14;1;KwaZulu-Natal
27237329108;400.06;loyalty reward;CAMP_df5e0430;572bdd13-f9b7-4013-8814-96715b1db13b;8bded9a9-4634-4744-abcb-4ad11cd30192;2026/02/13;1;Limpopo
27155238294;370.45;data saver;CAMP_b5a684fb;2740f2fd-7eea-4327-8b61-4d7ee00840ab;beb956fb-183d-4eae-90b0-4c6448a35ca8;2026/01/15;1;Limpopo
27484250502;385.04;summer special;CAMP_20a3dcb5;c80066c4-2093-441a-b300-94237ab84232;862dee82-f88a-40f3-8683-a678c613b3fd;2026/02/08;1;KwaZulu-Natal
27170442440;430.84;feature promo;CAMP_8c9ed32a;7ca52760-f7bc-433c-bfc2-0fb8427c3009;b35efde2-912e-4320-8aa5-71ca4b359cb0;2026/03/04;1;North West
27569249042;79.33;summer special;CAMP_1821394f;66a65a25-ff32-4850-8dbb-37c64cf56358;b6a40b73-c7c4-4ee7-adaf-5d5e00e7903f;2026/01/13;0;Eastern Cape
27558358977;449.47;flash offer;CAMP_cc6bb4e5;33e00648-064c-4f16-9ac7-32cc7130d809;52e47a20-868b-4d17-93e1-a35e659de416;2026/02/01;1;Northern Cape
27125672557;210.04;loyalty reward;CAMP_4236e746;14aad3c6-0df0-4ad0-8e7c-11305c0d669e;34c481eb-4510-4631-943e-36d0c2d6b7d6;2026/01/11;1;Northern Cape
27796942001;30.48;feature promo;CAMP_5551ccc0;982e789f-c264-48f4-aeba-a734797aa99f;02b8a264-7cca-4dc3-b324-e1e79674f5cd;2026/02/23;1;Mpumalanga
27260702506;158.27;feature promo;CAMP_ffc5693b;2b4eba5a-7fa1-406e-928e-cf9d3030ddfb;2c417117-2258-4d02-a070-8a00d66044d5;2026/01/29;1;Gauteng
27668441586;478.75;flash offer;CAMP_84aff86c;1ea3f22d-a7a4-4f1d-bb78-456db91e1f60;6d6d3abb-2e92-4039-bccc-e188bfcd1301;2026/02/21;0;Gauteng
27178199881;136.74;weekend deal;CAMP_2d622d4a;228c1d3f-26b9-4ea9-8433-15053f37ba6b;7c7f97c2-0a57-4b49-8879-5b2b8ebed86a;2026/03/08;0;Eastern Cape
27854575527;285.93;loyalty reward;CAMP_7fa47c7e;9e8b6f60-6501-490a-bd24-eec4084dd922;80f94f96-17cb-479f-8800-6371080dd122;2026/01/28;0;KwaZulu-Natal
27068447245;365.26;data saver;CAMP_7829ef03;8a991ad9-f7d4-4bf1-b657-b285590dd7bc;774552f6-09a8-4ea9-af75-2dec0430383d;2026/01/26;1;North West
27607362740;169.62;data saver;CAMP_d81723b9;0cc7e8ba-8a6b-4b74-bee0-88b295027151;dca059b8-6ae0-434c-b9e3-a2647af9c455;2026/02/10;1;Limpopo
27108797979;59.05;bundle boost;CAMP_cc6bb4e5;7056a9ff-92ce-4286-b34d-c6b3716b331b;2aae2837-e2c5-410c-8422-a5f10dcea2e0;2026/02/27;1;KwaZulu-Natal
27846203483;367.8;data saver;CAMP_cc486657;2836163f-458c-4da3-ab4c-38abc5211807;9b4416dc-b21d-4340-a28a-3b7d3c137b3f;2026/02/19;0;Northern Cape
27100674738;175.04;weekend deal;CAMP_1c003950;132293ca-4d45-43d8-86c2-696bdea92445;12cc3a5c-7e78-430a-975e-3621389a6c10;2026/01/12;0;Eastern Cape
27956020033;287.54;data saver;CAMP_b5c354b1;e72a6097-cc38-4dd0-9633-804561b40e78;60fd7ab8-c80a-4dea-99aa-ecc0c8128b45;2026/03/01;0;KwaZulu-Natal
